idCliente;NomCliente;TelCliente;Ciudad
1;Carlos Acosta Rojas;475-0074;LI
2;Karina Palacios Ramos;555-4729;CJ
3;Jessica Linares Hidalgo;555-3932;LI
4;Karen Mostafan Urrutia;555-7788;AQ
5;Carlos Ruiz Flores;921-1234;CZ
6;Paola Marian Yepez;621-0846;AQ
7;Jorge Torres Miranda;564-7575;AQ
8;George Mari¤o Rosales;555-2282;AQ
9;Percy Arellano Hernandez;425-8575;AQ
10;Susana Leon Jimenez;555-4729;LI
11;Susan Leon Cavessa;555-1212;LI
12;Rina Gamarra Flores;135-5555;LI
13;Julio Sanchez Reyes;555-3392;CJ
14;Daniel Sanchez Medina;452-0765;AN
15;Sandro Diaz Medina;555-7647;AN
16;Hernan Asturia Torres;555-2282;AQ
17;Viviana Cardenas Flores;241-0391;LI
18;Hugo Perez Polo;325-2658;HU
19;Walter Perez Davalos;555-0297;HU
20;Gerardo Cardenas Polo;675-3425;HU
